river,n_cell,value,sd,measure,buffer,year,source
Nishibetsu,111,9.410540303,2.486460411,sst,30km,2020,modis
Onnebetsu,124,12.40576588,2.282642069,sst,30km,2020,modis
Okushibetsu,19,13.44157866,0.849602184,sst,30km,2020,modis
Yamubetsu,39,13.69307667,1.664643389,sst,30km,2020,modis
Horonai,105,11.85409498,2.608270343,sst,30km,2020,modis
Shimonaefutoro,123,10.53203228,1.875596172,sst,30km,2020,modis
Masuhoro,54,10.3680553,0.926406003,sst,30km,2020,modis
Nobusha,86,13.08866246,1.587945011,sst,30km,2020,modis
Shokanbetsu,15,13.10266641,0.454524926,sst,30km,2020,modis
Atsuta,83,13.92644545,1.850628427,sst,30km,2020,modis
Shakotan,151,14.22622482,1.673942608,sst,30km,2020,modis
Yobetsu,25,13.86839977,0.388262074,sst,30km,2020,modis
Furuu,46,14.81260839,1.951027099,sst,30km,2020,modis
Tomari,103,14.70912595,1.302470924,sst,30km,2020,modis
Chihase,10,14.49999952,0.393821043,sst,30km,2020,modis
Sukki,61,14.7761472,0.553080262,sst,30km,2020,modis
Toshibetsu,36,15.01444417,0.892567917,sst,30km,2020,modis
Futoro,13,15.12346136,0.252802691,sst,30km,2020,modis
Usubetsu,53,15.06801855,0.730564801,sst,30km,2020,modis
Kenichi,32,15.34343722,0.897146857,sst,30km,2020,modis
Toppu,17,14.96941135,2.370923077,sst,30km,2020,modis
Hime,6,16.7099994,2.225196539,sst,30km,2020,modis
Ishizaki,68,16.31867611,1.352034731,sst,30km,2020,modis
Ookamotsu,65,16.12607657,1.100730701,sst,30km,2020,modis
Kokamotsu,10,15.95049963,0.94838405,sst,30km,2020,modis
Mogusa,9,16.21111064,1.230304263,sst,30km,2020,modis
Oyobe,46,16.5908692,1.506316787,sst,30km,2020,modis
Shiotomari,125,15.58235963,1.927391701,sst,30km,2020,modis
Haraki,57,14.25736805,1.71376793,sst,30km,2020,modis
Hidakahorobetsu,95,9.578789244,2.021891378,sst,30km,2020,modis
Nikanbetsu,61,7.853524384,1.60153238,sst,30km,2020,modis
Utabetsu,42,8.241309314,0.866148404,sst,30km,2020,modis
Nishibetsu,330,9.811833102,1.723147403,sst,50km,2017,modis
Onnebetsu,323,10.44664064,1.022532081,sst,50km,2017,modis
Okushibetsu,40,9.379374748,4.706916977,sst,50km,2017,modis
Yamubetsu,50,10.55759978,1.834938086,sst,50km,2017,modis
Horonai,268,9.677872914,1.899273485,sst,50km,2017,modis
Shimonaefutoro,375,10.05638645,2.586279317,sst,50km,2017,modis
Masuhoro,102,11.72524486,1.284679562,sst,50km,2017,modis
Nobusha,247,13.89597136,1.175446236,sst,50km,2017,modis
Shokanbetsu,30,14.18499969,0.694937558,sst,50km,2017,modis
Atsuta,116,13.83051694,0.879511342,sst,50km,2017,modis
Shakotan,377,14.06354081,1.578034606,sst,50km,2017,modis
Yobetsu,44,13.78693154,0.755413205,sst,50km,2017,modis
Furuu,44,14.5934088,1.133266929,sst,50km,2017,modis
Tomari,217,14.25550658,2.011161043,sst,50km,2017,modis
Chihase,24,14.38187464,0.540281087,sst,50km,2017,modis
Sukki,104,14.80423039,1.71947233,sst,50km,2017,modis
Toshibetsu,89,15.79938171,1.352896578,sst,50km,2017,modis
Futoro,20,15.53149967,0.264740924,sst,50km,2017,modis
Usubetsu,98,16.113265,1.371697305,sst,50km,2017,modis
Kenichi,45,15.44033288,2.95217327,sst,50km,2017,modis
Toppu,37,15.48391855,1.495858217,sst,50km,2017,modis
Hime,9,14.89166631,1.3963622,sst,50km,2017,modis
Ishizaki,182,16.115137,1.59944525,sst,50km,2017,modis
Ookamotsu,111,16.5596393,0.969850971,sst,50km,2017,modis
Kokamotsu,10,16.29649935,1.17316004,sst,50km,2017,modis
Mogusa,20,16.42524972,0.960035723,sst,50km,2017,modis
Oyobe,52,16.67548031,1.49510748,sst,50km,2017,modis
Shiotomari,272,14.09930113,1.418713435,sst,50km,2017,modis
Haraki,86,13.81424388,1.071333235,sst,50km,2017,modis
Hidakahorobetsu,293,10.83037521,2.157521173,sst,50km,2017,modis
Nikanbetsu,126,9.159404581,1.650090088,sst,50km,2017,modis
Utabetsu,67,9.81940278,1.37917113,sst,50km,2017,modis
Nishibetsu,330,9.366954327,2.234623418,sst,50km,2018,modis
Onnebetsu,325,11.15729204,1.150160126,sst,50km,2018,modis
Okushibetsu,40,13.39187465,3.878933634,sst,50km,2018,modis
Yamubetsu,50,11.25379977,2.315736659,sst,50km,2018,modis
Horonai,272,11.67319826,1.905106963,sst,50km,2018,modis
Shimonaefutoro,376,11.8752125,2.584278026,sst,50km,2018,modis
Masuhoro,102,12.73808794,1.569825141,sst,50km,2018,modis
Nobusha,247,14.78344098,1.260700627,sst,50km,2018,modis
Shokanbetsu,30,14.62949956,0.700265983,sst,50km,2018,modis
Atsuta,118,14.86296577,1.188230744,sst,50km,2018,modis
Shakotan,373,15.20243932,1.008444428,sst,50km,2018,modis
Yobetsu,44,15.21227232,0.633558191,sst,50km,2018,modis
Furuu,44,15.70795415,0.747848634,sst,50km,2018,modis
Tomari,218,16.06873822,1.515420658,sst,50km,2018,modis
Chihase,24,16.67249978,0.595941398,sst,50km,2018,modis
Sukki,104,17.01394191,0.939181997,sst,50km,2018,modis
Toshibetsu,88,17.36022703,1.167609775,sst,50km,2018,modis
Futoro,20,17.34474974,0.301510665,sst,50km,2018,modis
Usubetsu,98,16.84795875,1.228493086,sst,50km,2018,modis
Kenichi,45,16.18533298,2.184974737,sst,50km,2018,modis
Toppu,38,17.32736818,1.665170186,sst,50km,2018,modis
Hime,9,17.27611076,1.166637505,sst,50km,2018,modis
Ishizaki,183,17.18210345,1.042785004,sst,50km,2018,modis
Ookamotsu,111,17.71707167,0.863452235,sst,50km,2018,modis
Kokamotsu,10,18.07899952,0.795499029,sst,50km,2018,modis
Mogusa,20,18.10899963,1.484644629,sst,50km,2018,modis
Oyobe,52,18.376538,2.05415505,sst,50km,2018,modis
Shiotomari,275,15.61767238,1.896877775,sst,50km,2018,modis
Haraki,86,15.48005779,1.181882577,sst,50km,2018,modis
Hidakahorobetsu,299,11.29381246,2.146848954,sst,50km,2018,modis
Nikanbetsu,126,8.935991866,1.359468981,sst,50km,2018,modis
Utabetsu,67,9.254104344,1.631100181,sst,50km,2018,modis
