river,chr_a,sst
atsuta,2.9345354504055448,14.92431280348036
chihase,0.731537832154168,16.170777744717068
furuu,0.605325933959749,15.86400678422716
futoro,0.9441369308365716,16.587056001027424
haraki,0.9096651391850578,16.112100177341038
hidakahorobetsu,1.6207855211363897,10.857955508761936
hime,0.9467108498016993,16.7803569899665
horonai,1.1933469706111484,12.78712542851766
ishizaki,0.7987452149391174,17.325697157118057
kenichi,0.9985073523388969,16.73064422607422
kokamotsu,0.6788670122623444,17.545007546742756
masuhoro,0.978753987285826,13.001681380801731
mogusa,0.6673538668288125,17.567732016245525
nikanbetsu,1.948696129851871,9.707812786102295
nishibetsu,4.1384613249037,10.782391707102457
nobusha,1.0246419111887615,15.241454495324028
okushibetsu,1.8599661191304524,11.86934683057997
onnebetsu,1.5837770369317796,11.733041763305664
ookamotsu,0.6844579693343904,17.532774183485245
oyobe,0.6682046867079205,17.53459718492296
shakotan,0.5802643166648017,15.687284098731148
shimonaefutoro,0.9012866914272308,12.62860631942749
shiotomari,0.9471002949608697,16.207472218407524
shokanbetsu,1.0185739762253232,15.27379846572876
sukki,0.8029109918408923,16.193439854515923
tomari,0.7204616020123163,16.14095714357164
toppu,0.9520470069514381,16.754282474517822
toshibetsu,0.9216105375025008,16.568374474843342
usubetsu,0.9630066156387329,16.699663321177166
utabetsu,1.9873590138223436,9.399591445922852
yamubetsu,1.9993213150236342,11.936124271816677
yobetsu,0.5736246274577247,15.732021278805203
