river,year_release,release_stage,abundance,abundance_unit
chihase,1978,fry,100,thousand_fish
chihase,1981,fry,125,thousand_fish
chihase,1982,fry,0,thousand_fish
chihase,1983,fry,0,thousand_fish
chihase,1985,fry,150,thousand_fish
chihase,1986,fry,253,thousand_fish
chihase,1987,fry,180,thousand_fish
chihase,1988,fry,160,thousand_fish
chihase,1989,fry,120,thousand_fish
chihase,1990,fry,90,thousand_fish
chihase,1991,fry,100,thousand_fish
chihase,1991,juvenile,49,thousand_fish
chihase,1992,fry,89,thousand_fish
chihase,1992,juvenile,99,thousand_fish
chihase,1993,fry,20,thousand_fish
chihase,1993,juvenile,92,thousand_fish
chihase,1994,fry,100,thousand_fish
chihase,1994,juvenile,50,thousand_fish
chihase,1995,fry,150,thousand_fish
chihase,1995,juvenile,40,thousand_fish
chihase,1996,fry,150,thousand_fish
chihase,1997,fry,100,thousand_fish
chihase,1998,fry,105,thousand_fish
chihase,1999,fry,125,thousand_fish
chihase,2000,fry,135,thousand_fish
chihase,2001,fry,154,thousand_fish
chihase,2002,fry,169,thousand_fish
chihase,2002,smolt,80,thousand_fish
chihase,2003,fry,121,thousand_fish
chihase,2003,smolt,50,thousand_fish
chihase,2004,fry,100,thousand_fish
chihase,2004,smolt,109.1,thousand_fish
chihase,2005,fry,41,thousand_fish
chihase,2005,smolt,141.4,thousand_fish
chihase,2006,fry,126,thousand_fish
chihase,2006,smolt,100,thousand_fish
chihase,2007,fry,125,thousand_fish
chihase,2007,smolt,100,thousand_fish
chihase,2008,fry,588,thousand_fish
chihase,2008,juvenile,60,thousand_fish
chihase,2008,smolt,93.7,thousand_fish
chihase,2009,fry,125,thousand_fish
chihase,2009,juvenile,60,thousand_fish
chihase,2009,smolt,50,thousand_fish
chihase,2010,fry,123,thousand_fish
chihase,2010,juvenile,60,thousand_fish
chihase,2010,smolt,50,thousand_fish
chihase,2011,fry,125,thousand_fish
chihase,2011,juvenile,60,thousand_fish
chihase,2011,smolt,46,thousand_fish
chihase,2012,fry,125,thousand_fish
chihase,2012,smolt,150,thousand_fish
chihase,2013,fry,125,thousand_fish
chihase,2013,smolt,0.2,thousand_fish
chihase,2014,fry,105,thousand_fish
chihase,2014,smolt,150,thousand_fish
chihase,2015,fry,145,thousand_fish
chihase,2015,smolt,189,thousand_fish
chihase,2016,smolt,150,thousand_fish
chihase,2017,fry,102,thousand_fish
chihase,2017,smolt,150,thousand_fish
chihase,2018,smolt,150,thousand_fish
chihase,2019,fry,200,thousand_fish
