river,site,frac_forest,frac_urban,frac_agri,temp,ppt,area
atsuta,1,0.9792358875274658,0,0.0018566979561001062,7.012905883789063,1276.791015625,16.1577166886385
atsuta,2,0.9779789447784424,0,0.004664973821491003,8.044901275634766,1229.910400390625,38.343844427221
atsuta,3,1,0,0,6.848783874511719,1483.5140380859375,2.07146543051958
atsuta,4,0.9916189908981323,0,0.0010201985714957118,7.422422790527344,1284.3271484375,22.6665901438526
atsuta,5,0.9713752865791321,0,0.00313717033714056,6.5588226318359375,1580.56787109375,3.39445291632872
chihase,1,0.9781540632247925,0,0.0010361932218074799,8.51742172241211,1047.233642578125,9.65070959817261
chihase,2,0.8176194429397583,0,0.01661396212875843,9.01032180786133,1064.006103515625,12.5717321307627
furuu,1,0.9394950866699219,0,0.01982593722641468,8.211419677734375,1273.170166015625,16.0862123375842
furuu,2,0.9999533891677856,0,4.655750308302231e-5,7.942475128173829,1411.5482177734375,18.1206586117614
furuu,3,0.833240270614624,0,0.032228074967861176,8.0136474609375,1242.859375,29.9120038186306
furuu,4,0.8833072781562805,5.821031518280506e-4,0.025281334295868874,8.211419677734375,1273.170166015625,51.5372559538324
furuu,5,0.9213741421699524,0.0011648532235994935,0.016874507069587708,8.473551177978516,1522.4957275390625,77.2629539051859
futoro,1,0.99822235107421875,0,0.0017720672767609358,8.83740463256836,1114.4202880859375,13.8514183442206
futoro,2,0.9990338683128357,0,6.849485798738897e-4,9.185736083984375,1198.45703125,35.8357500080181
futoro,3,0.9911588430404663,0.0030451901257038116,0.002540214918553829,9.303584289550782,1270.5189208984375,197.032039107663
futoro,4,0.9990600347518921,0,6.663952954113483e-4,9.185736083984375,1198.45703125,36.8334630609802
futoro,5,0.9988792538642883,0,6.165122031234205e-4,9.180809020996094,1264.704833984375,39.8137239005218
haraki,1,1,0,0,9.057200622558595,1270.44921875,3.87394147877033
haraki,2,1,0,0,9.344670867919922,1221.2017822265625,11.867167606886
hidakahorobetsu,1,1,0,0,7.352964019775391,1133.1136474609375,4.33148440972708
hidakahorobetsu,2,1,0,0,7.137549591064453,1247.51123046875,9.36203667145917
hidakahorobetsu,3,1,0,0,7.501597595214844,1262.7340087890625,7.73476870390481
hidakahorobetsu,4,1,0,0,7.831377410888672,1276.0699462890625,5.80396269919699
hidakahorobetsu,5,1,0,0,7.1711273193359375,1220.0745849609375,10.0741047583031
hidakahorobetsu,6,1,0,0,7.193712615966797,1282.1087646484375,27.3155402013135
hime,1,1,0,0,8.938191986083984,1267.275146484375,14.0125275678231
hime,2,0.9998200535774231,0,0,9.476273345947266,1244.774658203125,23.3929347239248
hime,3,0.9889612197875977,0.0025647354777902365,9.83542762696743e-4,9.806975555419923,1211.49267578125,28.2066428832504
hime,4,1,0,0,9.476273345947266,1244.774658203125,18.6257663416974
hime,5,0.9984159469604492,0,7.633843342773616e-4,9.682879638671876,1222.1273193359375,26.19912374319
horonai,1,0.9504094123840332,0,0.0495905876159668,7.098643493652344,936.24407958984375,3.56407070306216
horonai,2,0.9303778409957886,0,0.06962217390537262,7.154782104492188,946.3831787109375,6.31327608571177
ishizaki,1,0.9999296069145203,0,2.7592521291808225e-5,9.01723861694336,1142.79248046875,58.6356085791836
ishizaki,2,1,0,0,9.43704833984375,1222.6595458984375,70.9811766630462
ishizaki,3,0.9999727010726929,0,1.0722094884840772e-5,9.76599578857422,1214.457275390625,150.894423629323
ishizaki,4,0.9981833696365356,1.5745227574370801e-4,0.001084561343304813,10.073463439941406,1267.7047119140625,176.677797806622
ishizaki,5,0.9999726414680481,0,1.0744043720478658e-5,9.559532165527344,1249.96142578125,150.586162319329
kenichi,1,0.9528650045394897,0,0.014505228027701378,8.570892333984375,1086.5911865234375,34.8835250118409
kenichi,2,0.9702073931694031,0,0.009168296121060848,9.033406066894532,1136.175048828125,55.1894808693731
kenichi,3,0.9732053875923157,0,0.010056397877633572,9.86432342529297,1159.919189453125,69.1975100292828
kenichi,4,1,0,0,8.37341537475586,1206.838134765625,17.3798479860821
kenichi,5,0.9590963125228882,0,0.03700600191950798,8.852845764160156,1159.767578125,5.13117320787641
kenichi,6,1,0,0,9.016584014892578,1127.5303955078125,17.5456249098697
kenichi,7,0.9708520770072937,0,0.010939625091850758,9.353868103027343,1133.620361328125,63.610740207638
kenichi,8,0.9731062054634094,0,0.01009361445903778,9.4554290771484375,1236.63818359375,68.9423671512196
kokamotsu,1,0.9957892298698425,0,0.004037050995975733,9.831540679931642,1452.098388671875,27.3902851005389
kokamotsu,2,0.9919360876083374,0,0.007894553244113922,10.233062744140625,1356.6864013671875,28.1046920678708
kokamotsu,3,0.9903878569602966,0,0.0084780752658844,10.233062744140625,1356.6864013671875,30.6472105217969
masuhoro,1,0.9999905824661255,0,9.414002306584734e-6,6.298630142211914,1272.6510009765625,8.68603596324489
masuhoro,2,0.9667677879333496,0.0018986669601872563,0.03133353590965271,6.697675323486329,1101.9305419921875,31.6011173978209
masuhoro,3,1,0,0,6.373340225219727,1214.8878173828125,15.0126168149929
masuhoro,4,0.9594814777374268,0,0.04051849991083145,6.697675323486329,1101.9305419921875,19.3612985517502
mogusa,1,1,0,0,9.785945129394532,1469.3692626953125,26.877992657517
mogusa,2,0.9996365904808044,0,3.6343198735266924e-4,9.90857162475586,1459.47216796875,27.5154634642988
mogusa,3,0.99469757080078125,0.0011208492796868086,0.0032048840075731277,10.200000000000001,1402.2742919921875,28.0821381023798
nikanbetsu,1,1,0,0,7.418264770507813,1812.0474853515625,12.6802231817511
nikanbetsu,2,1,0,0,7.527127838134766,1711.4869384765625,10.59712681534
nikanbetsu,3,1,0,0,8.157855224609376,1652.30322265625,30.7708111537446
nikanbetsu,4,1,0,0,8.105258178710939,1566.16845703125,8.05823734435288
nikanbetsu,5,1,0,0,7.816018676757813,1599.9468994140625,5.97170087436658
nishibetsu,1,0.2624704837799072,0.02981869876384735,0.6950423717498779,6.9,989.71588134765625,72.6316485580186
nishibetsu,2,0.36278781294822693,0.027513548731803894,0.5898820161819458,6.885202026367188,989.16497802734375,30.1555457605324
nishibetsu,3,0.3807772099971771,0.02978186309337616,0.5655562281608582,6.8103271484375005,991.99359130859375,15.5434715353499
nishibetsu,4,0.28574374318122864,0.015665672719478607,0.6694347262382507,6.9,989.92755126953125,7.41842920943424
nishibetsu,5,0.369414746761322,0.056776419281959534,0.5706148743629456,6.9,981.7110595703125,21.7672263688927
nishibetsu,6,0.34145164489746094,0.01343113835901022,0.6388896703720093,6.754231262207032,981.6187744140625,9.63457403058106
nobusha,1,0.7400171160697937,0,0.00119065772742033,4.929174041748047,1238.388427734375,8.39871860354295
nobusha,2,0.9250509738922119,0,0.002004424575716257,7.804607391357422,1211.337646484375,36.5949486756363
nobusha,3,0.9918962717056274,0,0,7.109591674804688,1091.9625244140625,8.63800891752785
nobusha,4,0.9218280911445618,0,0.0019975248724222183,7.3567146301269535,1179.251708984375,35.0433681315743
okushibetsu,1,0.9659038186073303,0,5.877720541320741e-4,5.5899703979492195,984.55303955078125,35.3758569009147
okushibetsu,2,0.9668053984642029,1.5495399566134438e-5,0.007255502510815859,6.25221061706543,906.69683837890625,45.7263031336347
okushibetsu,3,0.9785158038139343,0,0.020229587331414223,6.4360908508300785,870.4853515625,15.9410374355468
onnebetsu,2,0.9971647262573242,0,1.6655416402500123e-4,6.090388107299805,933.949462890625,34.8757076571953
ookamotsu,1,0.9925803542137146,0,0.005928847473114729,9.1314208984375,1435.961669921875,40.2778407207552
ookamotsu,2,0.9929679036140442,0,0.005619155243039131,9.529607391357422,1460.9595947265625,42.4976986746999
ookamotsu,3,0.9923259019851685,0,0.006312752608209848,10.159553527832031,1383.831787109375,44.1064605696036
ookamotsu,4,0.9930030107498169,0,0.005591216962784529,9.529607391357422,1460.9595947265625,42.7100543211929
oyobe,1,0.9995450973510742,0,4.5487526222132146e-4,9.842562103271485,1092.3319091796875,9.23367735119056
oyobe,2,0.9997949004173279,0,2.0510649483185261e-4,9.59408187866211,1196.4794921875,4.30863740645802
oyobe,3,0.9998300671577454,0,1.6993387544061989e-4,9.874493408203126,1131.2403564453125,29.9166559123613
shakotan,1,0.996311604976654,0,0.0036884224973618984,7.920240783691407,1255.49267578125,2.71118608187064
shakotan,2,0.9923020601272583,0.00574035570025444,0.001307276077568531,8.039448547363282,1246.2237548828125,15.3763743889981
shakotan,3,0.9918504357337952,0.004847499076277018,0.0016191023169085383,8.069637298583984,1365.3912353515625,30.9437925886951
shakotan,4,1,0,0,8.08114013671875,1428.35595703125,4.43157745015301
shakotan,5,0.9829369783401489,0.0021429923363029957,0.004592417739331722,8.42962646484375,1355.691162109375,72.2288823564238
shakotan,6,0.9922624826431274,0.005791765637695789,0.0012993433047086,8.061980438232423,1224.38525390625,15.4702504973794
shakotan,7,0.986187756061554,0.0028734190855175257,0.0026462445966899395,8.08114013671875,1428.35595703125,52.2026195209383
shakotan,8,0.9838160872459412,0.003418130101636052,0.0031446514185518026,8.006322479248047,1432.0499267578125,43.883642797955
shimonaefutoro,1,1,0,0,6.37010498046875,1074.4915771484375,17.6739538475745
shimonaefutoro,2,1,0,0,6.474814605712891,1026.1680908203125,28.352410756566
shimonaefutoro,3,1,0,0,6.309234237670899,1073.962890625,11.7352712256318
shimonaefutoro,4,1,0,0,6.278165054321289,1043.77294921875,6.14560375901996
shimonaefutoro,5,0.9988358020782471,0,0.001164212473668158,6.499598693847656,1044.2431640625,25.768492288613
shiotomari,1,1,0,0,8.908120727539062,1123.702880859375,8.12475337532975
shiotomari,2,1,0,0,8.908120727539062,1123.702880859375,7.68255959221078
shiotomari,3,0.9992511868476868,0,7.488380069844425e-4,8.95951385498047,1153.22265625,13.3540236753494
shokanbetsu,1,0.8302807211875916,0,0.011756515130400658,6.519447326660156,1169.35693359375,34.5490644095398
shokanbetsu,2,0.860903263092041,0,0.007855693809688091,5.990155029296876,1234.2623291015625,17.9353400611042
shokanbetsu,3,0.9175161719322205,0,0.008342449553310871,6.324861907958985,1208.064208984375,13.5366536969321
sukki,1,0.8811343312263489,0,0.02098006382584572,8.677117919921875,1439.4736328125,31.7328400318421
sukki,2,0.8902377486228943,1.272691151825711e-4,0.019350821152329445,8.714055633544922,1434.929931640625,34.404587470558
sukki,3,0.8739957809448242,0,0.022240031510591507,8.3536529541015625,1488.5816650390625,29.9350735507053
tomari,1,0.9634920358657837,0,0.011984208598732948,8.24869842529297,1264.852294921875,78.3057328255214
tomari,2,0.9689931869506836,0,0.01027404423803091,8.741582489013672,1195.167724609375,93.4011804925986
tomari,3,0.9998999834060669,0,9.999302710639313e-5,8.469847106933594,1140.6839599609375,11.7565890538482
toppu,1,1,0,0,8.264762115478517,1277.537353515625,18.7957808703777
toppu,2,1,0,0,9.163286590576172,1352.0604248046875,28.0582722363635
toppu,3,1,0,0,9.535175323486328,1365.6507568359375,14.8221166529674
toshibetsu,1,0.961666464805603,0,0.01132199726998806,7.896690368652344,1287.5323486328125,11.4392295509931
